0,1,2,3,4,5,6,7,8,9,10
candy,soda,,,,,,,,,
hygiene articles,semi-finished bread,,,,,,,,,
chicken,pip fruit,curd,,,,,,,,
napkins,photo/film,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
pork,other vegetables,,,,,,,,,
meat,pork,butter milk,cat food,,,,,,,
curd,soda,,,,,,,,,
instant coffee,onions,processed cheese,dental care,,,,,,,
rolls/buns,chicken,whipped/sour cream,canned beer,baking powder,,,,,,
chicken,butter,curd,flower (seeds),,,,,,,
sweet spreads,white wine,,,,,,,,,
soda,brown bread,,,,,,,,,
packaged fruit/vegetables,specialty bar,,,,,,,,,
canned beer,yogurt,,,,,,,,,
bottled water,newspapers,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
ham,berries,,,,,,,,,
spices,cookware,,,,,,,,,
chicken,whisky,,,,,,,,,
canned beer,napkins,specialty bar,,,,,,,,
chicken,butter milk,,,,,,,,,
ham,brown bread,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,butter,,,,,,,,,
chicken,pork,newspapers,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
pastry,baking powder,,,,,,,,,
other vegetables,brown bread,whipped/sour cream,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
whole milk,bottled water,,,,,,,,,
brown bread,sugar,beef,citrus fruit,yogurt,,,,,,
tropical fruit,whole milk,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
citrus fruit,bottled water,specialty bar,,,,,,,,
rum,yogurt,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
frankfurter,whole milk,margarine,,,,,,,,
root vegetables,curd,,,,,,,,,
yogurt,whole milk,fruit/vegetable juice,,,,,,,,
sausage,chicken,,,,,,,,,
beef,other vegetables,,,,,,,,,
canned beer,cake bar,newspapers,pastry,baking powder,yogurt,,,,,
tropical fruit,newspapers,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
whole milk,root vegetables,rolls/buns,yogurt,onions,coffee,napkins,UHT-milk,,,
bottled water,whisky,,,,,,,,,
whole milk,pork,other vegetables,domestic eggs,,,,,,,
root vegetables,brown bread,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
margarine,processed cheese,,,,,,,,,
yogurt,other vegetables,whipped/sour cream,,,,,,,,
sliced cheese,shopping bags,,,,,,,,,
chicken,mayonnaise,soda,sparkling wine,,,,,,,
sausage,cocoa drinks,,,,,,,,,
fish,pickled vegetables,hard cheese,,,,,,,,
spices,butter,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
canned fish,ice cream,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
soda,cat food,,,,,,,,,
newspapers,dishes,,,,,,,,,
canned beer,sausage,onions,canned beer,,,,,,,
frankfurter,whipped/sour cream,cat food,,,,,,,,
bottled water,yogurt,,,,,,,,,
pork,other vegetables,yogurt,shopping bags,soft cheese,detergent,,,,,
pip fruit,chewing gum,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
pastry,tropical fruit,sugar,sauces,bottled water,sliced cheese,,,,,
sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
root vegetables,onions,whole milk,butter,,,,,,,
canned beer,sliced cheese,,,,,,,,,
bottled water,pastry,,,,,,,,,
root vegetables,frozen potato products,dental care,,,,,,,,
canned beer,newspapers,,,,,,,,,
bottled water,chocolate,,,,,,,,,
sausage,pastry,,,,,,,,,
meat,other vegetables,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
coffee,butter,,,,,,,,,
beverages,curd,,,,,,,,,
frozen dessert,soda,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
canned beer,grapes,whole milk,dessert,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
whole milk,margarine,,,,,,,,,
whole milk,brown bread,,,,,,,,,
rolls/buns,tidbits,margarine,,,,,,,,
curd,cream cheese ,nut snack,chocolate marshmallow,yogurt,female sanitary products,,,,,
frankfurter,rolls/buns,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
sausage,newspapers,,,,,,,,,
ham,frankfurter,bottled water,shopping bags,specialty cheese,,,,,,
canned fish,specialty cheese,yogurt,specialty vegetables,,,,,,,
citrus fruit,yogurt,,,,,,,,,
butter milk,pip fruit,,,,,,,,,
other vegetables,domestic eggs,napkins,,,,,,,,
whole milk,newspapers,,,,,,,,,
margarine,berries,yogurt,coffee,soda,chewing gum,,,,,
citrus fruit,flour,,,,,,,,,
coffee,specialty fat,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
herbs,white bread,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
tropical fruit,mustard,sliced cheese,,,,,,,,
softener,soda,,,,,,,,,
butter milk,packaged fruit/vegetables,,,,,,,,,
pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
brown bread,shopping bags,soda,,,,,,,,
curd,cream cheese ,,,,,,,,,
pip fruit,napkins,cat food,,,,,,,,
yogurt,butter,cling film/bags,fruit/vegetable juice,,,,,,,
rolls/buns,semi-finished bread,fruit/vegetable juice,,,,,,,,
tropical fruit,flower soil/fertilizer,flour,specialty bar,,,,,,,
meat,whole milk,whole milk,yogurt,,,,,,,
whole milk,other vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pip fruit,dishes,soft cheese,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
other vegetables,dessert,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
pickled vegetables,onions,,,,,,,,,
root vegetables,rice,,,,,,,,,
other vegetables,dish cleaner,,,,,,,,,
root vegetables,meat,,,,,,,,,
sausage,bottled beer,,,,,,,,,
pork,red/blush wine,,,,,,,,,
beef,canned beer,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
specialty chocolate,chewing gum,,,,,,,,,
other vegetables,dog food,,,,,,,,,
whole milk,dessert,,,,,,,,,
sausage,dessert,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
pastry,cat food,,,,,,,,,
tropical fruit,butter milk,shopping bags,,,,,,,,
bottled water,cling film/bags,,,,,,,,,
ice cream,grapes,,,,,,,,,
coffee,brown bread,whole milk,sweet spreads,,,,,,,
root vegetables,specialty bar,,,,,,,,,
shopping bags,soda,,,,,,,,,
meat,whole milk,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
other vegetables,margarine,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
whole milk,margarine,dessert,,,,,,,,
citrus fruit,hamburger meat,photo/film,,,,,,,,
newspapers,butter,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
cake bar,butter milk,,,,,,,,,
fruit/vegetable juice,female sanitary products,,,,,,,,,
cream cheese ,frozen vegetables,,,,,,,,,
whole milk,liquor,,,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
whole milk,whole milk,,,,,,,,,
dessert,photo/film,,,,,,,,,
sausage,fruit/vegetable juice,salt,,,,,,,,
bottled water,root vegetables,,,,,,,,,
yogurt,specialty cheese,,,,,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
sausage,soda,,,,,,,,,
beverages,bottled water,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
other vegetables,cat food,,,,,,,,,
meat,whole milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
butter,photo/film,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
chocolate,soda,,,,,,,,,
soda,beverages,,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
rolls/buns,pork,,,,,,,,,
rolls/buns,sugar,fruit/vegetable juice,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
ham,onions,,,,,,,,,
liquor,sweet spreads,,,,,,,,,
onions,butter,,,,,,,,,
citrus fruit,skin care,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
whole milk,coffee,,,,,,,,,
waffles,curd,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
onions,pastry,shopping bags,,,,,,,,
other vegetables,grapes,,,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,
canned beer,candy,,,,,,,,,
bottled water,yogurt,beef,berries,chocolate,butter,,,,,
chocolate marshmallow,brown bread,,,,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
canned beer,tropical fruit,pet care,,,,,,,,
salty snack,butter,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
citrus fruit,sauces,long life bakery product,,,,,,,,
ham,citrus fruit,cling film/bags,,,,,,,,
ham,chicken,canned beer,other vegetables,napkins,,,,,,
sausage,canned beer,whipped/sour cream,,,,,,,,
rolls/buns,berries,,,,,,,,,
candy,newspapers,female sanitary products,,,,,,,,
tropical fruit,packaged fruit/vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
curd,soda,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
onions,abrasive cleaner,,,,,,,,,
grapes,whipped/sour cream,,,,,,,,,
pet care,dog food,,,,,,,,,
seasonal products,bottled beer,,,,,,,,,
rolls/buns,candy,onions,,,,,,,,
specialty bar,bottled beer,,,,,,,,,
frozen vegetables,cream cheese ,,,,,,,,,
whole milk,butter,,,,,,,,,
soda,frozen meals,,,,,,,,,
finished products,cocoa drinks,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
canned beer,rolls/buns,whole milk,grapes,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
onions,grapes,bottled beer,,,,,,,,
coffee,baking powder,,,,,,,,,
pork,white bread,domestic eggs,,,,,,,,
whipped/sour cream,candy,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
onions,root vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
pet care,beef,,,,,,,,,
domestic eggs,sugar,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
sausage,specialty bar,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
long life bakery product,onions,,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
dessert,other vegetables,whipped/sour cream,,,,,,,,
soda,vinegar,napkins,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
cat food,other vegetables,,,,,,,,,
pork,rolls/buns,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
canned beer,bottled water,,,,,,,,,
rolls/buns,butter,,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
whole milk,beef,tropical fruit,tropical fruit,whole milk,domestic eggs,coffee,other vegetables,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
soda,bottled water,house keeping products,,,,,,,,
frozen fish,specialty cheese,,,,,,,,,
light bulbs,pastry,UHT-milk,baking powder,,,,,,,
butter,root vegetables,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
bottled water,herbs,,,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
domestic eggs,chewing gum,,,,,,,,,
salty snack,rolls/buns,butter,tropical fruit,pastry,root vegetables,fruit/vegetable juice,semi-finished bread,,,
citrus fruit,ham,canned beer,frozen vegetables,tropical fruit,other vegetables,yogurt,whole milk,onions,,
pastry,rolls/buns,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
soda,hygiene articles,,,,,,,,,
onions,long life bakery product,,,,,,,,,
beef,pasta,,,,,,,,,
butter,candy,,,,,,,,,
white wine,coffee,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
berries,bottled beer,,,,,,,,,
long life bakery product,condensed milk,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
whole milk,newspapers,,,,,,,,,
cream cheese ,frozen vegetables,sugar,coffee,,,,,,,
butter,cake bar,ice cream,fruit/vegetable juice,,,,,,,
hamburger meat,soda,cling film/bags,,,,,,,,
brown bread,whole milk,,,,,,,,,
pip fruit,other vegetables,bottled water,,,,,,,,
liquor,red/blush wine,,,,,,,,,
white bread,hard cheese,,,,,,,,,
sausage,grapes,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
meat,pot plants,canned vegetables,,,,,,,,
shopping bags,yogurt,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
sausage,white bread,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
root vegetables,soda,,,,,,,,,
baking powder,brown bread,,,,,,,,,
other vegetables,male cosmetics,,,,,,,,,
cat food,bottled beer,beef,brown bread,margarine,rolls/buns,,,,,
other vegetables,margarine,,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
rolls/buns,citrus fruit,,,,,,,,,
frozen meals,canned vegetables,other vegetables,turkey,,,,,,,
tropical fruit,detergent,rolls/buns,coffee,,,,,,,
pip fruit,soda,jam,,,,,,,,
root vegetables,ham,,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
canned beer,brown bread,,,,,,,,,
other vegetables,napkins,,,,,,,,,
whole milk,yogurt,pot plants,pastry,flower (seeds),pudding powder,,,,,
whole milk,specialty cheese,,,,,,,,,
fish,candy,rolls/buns,,,,,,,,
coffee,canned fish,,,,,,,,,
root vegetables,specialty cheese,curd,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
onions,specialty cheese,canned fish,,,,,,,,
oil,hard cheese,,,,,,,,,
whole milk,baking powder,,,,,,,,,
chicken,yogurt,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
candy,curd,,,,,,,,,
meat spreads,butter,,,,,,,,,
butter,rolls/buns,,,,,,,,,
frankfurter,dessert,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
brown bread,curd,,,,,,,,,
cereals,whole milk,bottled water,,,,,,,,
onions,rolls/buns,,,,,,,,,
flour,dessert,,,,,,,,,
other vegetables,soda,rolls/buns,dishes,,,,,,,
soda,shopping bags,coffee,,,,,,,,
whole milk,grapes,chocolate,pot plants,,,,,,,
misc. beverages,grapes,instant coffee,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
misc. beverages,yogurt,misc. beverages,,,,,,,,
pork,domestic eggs,,,,,,,,,
packaged fruit/vegetables,pet care,,,,,,,,,
dishes,sweet spreads,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
frozen vegetables,salad dressing,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
whole milk,pasta,,,,,,,,,
other vegetables,whole milk,house keeping products,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
beef,condensed milk,,,,,,,,,
chocolate,bottled water,,,,,,,,,
coffee,soft cheese,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
long life bakery product,waffles,canned vegetables,soft cheese,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sausage,brown bread,,,,,,,,,
salt,domestic eggs,,,,,,,,,
whole milk,whole milk,,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
yogurt,baking powder,,,,,,,,,
frankfurter,sausage,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,,
other vegetables,sausage,onions,whole milk,chocolate,,,,,,
other vegetables,brown bread,,,,,,,,,
soda,newspapers,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
meat,onions,whole milk,whole milk,,,,,,,
butter milk,UHT-milk,,,,,,,,,
specialty bar,semi-finished bread,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
rolls/buns,soda,,,,,,,,,
beverages,other vegetables,curd,,,,,,,,
frozen meals,frozen meals,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
soda,shopping bags,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
oil,butter,,,,,,,,,
other vegetables,dishes,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
sausage,pastry,,,,,,,,,
whole milk,candy,,,,,,,,,
bottled beer,berries,,,,,,,,,
oil,bottled beer,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
yogurt,rolls/buns,berries,whole milk,zwieback,brown bread,newspapers,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
pork,napkins,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
sausage,pastry,ice cream,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
soda,red/blush wine,,,,,,,,,
napkins,whole milk,,,,,,,,,
other vegetables,tropical fruit,pastry,citrus fruit,curd,soda,whole milk,detergent,syrup,,
canned beer,other vegetables,yogurt,,,,,,,,
bottled water,specialty bar,,,,,,,,,
chicken,frozen fish,sugar,,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
baking powder,whole milk,rolls/buns,,,,,,,,
brandy,dessert,,,,,,,,,
canned beer,tropical fruit,fruit/vegetable juice,shopping bags,,,,,,,
pork,specialty chocolate,,,,,,,,,
canned beer,other vegetables,salty snack,,,,,,,,
long life bakery product,salty snack,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
pip fruit,UHT-milk,soda,,,,,,,,
rice,jam,,,,,,,,,
canned beer,napkins,,,,,,,,,
waffles,beverages,,,,,,,,,
pasta,root vegetables,,,,,,,,,
specialty bar,tropical fruit,yogurt,bottled beer,baking powder,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
root vegetables,white bread,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
sausage,dessert,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
frankfurter,whole milk,whole milk,specialty bar,,,,,,,
tropical fruit,bottled water,,,,,,,,,
brown bread,candy,chocolate,,,,,,,,
flower (seeds),bottled water,,,,,,,,,
frankfurter,berries,tropical fruit,rolls/buns,,,,,,,
sausage,frozen vegetables,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
other vegetables,yogurt,bottled water,,,,,,,,
frozen meals,chicken,whipped/sour cream,whole milk,bottled beer,,,,,,
roll products ,toilet cleaner,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
whole milk,baking powder,,,,,,,,,
soda,root vegetables,,,,,,,,,
bottled water,soda,,,,,,,,,
soda,hard cheese,,,,,,,,,
canned vegetables,napkins,,,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
yogurt,soft cheese,herbs,rolls/buns,,,,,,,
fruit/vegetable juice,detergent,,,,,,,,,
root vegetables,onions,,,,,,,,,
sausage,white wine,,,,,,,,,
sugar,dish cleaner,,,,,,,,,
whole milk,whole milk,sausage,newspapers,soda,flour,bottled water,liquor,,,
pip fruit,specialty bar,,,,,,,,,
whole milk,hard cheese,white bread,,,,,,,,
bottled beer,other vegetables,butter,,,,,,,,
flower (seeds),honey,,,,,,,,,
yogurt,butter,,,,,,,,,
other vegetables,dessert,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
bottled water,napkins,fruit/vegetable juice,hard cheese,,,,,,,
frankfurter,shopping bags,,,,,,,,,
root vegetables,coffee,domestic eggs,soda,,,,,,,
root vegetables,pip fruit,coffee,,,,,,,,
sausage,yogurt,candles,,,,,,,,
ice cream,onions,soda,,,,,,,,
hamburger meat,ice cream,,,,,,,,,
brown bread,shopping bags,,,,,,,,,
frankfurter,pickled vegetables,,,,,,,,,
frankfurter,specialty bar,whole milk,rice,dishes,,,,,,
UHT-milk,other vegetables,other vegetables,bottled water,,,,,,,
root vegetables,grapes,whole milk,,,,,,,,
cleaner,chewing gum,,,,,,,,,
whole milk,rolls/buns,canned fruit,onions,soda,,,,,,
yogurt,tropical fruit,bottled water,yogurt,,,,,,,
curd,butter milk,,,,,,,,,
soda,frozen vegetables,brown bread,yogurt,,,,,,,
tropical fruit,grapes,sugar,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
domestic eggs,waffles,,,,,,,,,
soda,sausage,yogurt,root vegetables,,,,,,,
ham,rolls/buns,,,,,,,,,
beverages,butter milk,,,,,,,,,
pip fruit,canned vegetables,cling film/bags,,,,,,,,
frankfurter,whole milk,red/blush wine,rolls/buns,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
chicken,soda,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
specialty chocolate,frozen vegetables,other vegetables,cream cheese ,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
citrus fruit,soda,,,,,,,,,
other vegetables,other vegetables,other vegetables,hamburger meat,soda,soft cheese,waffles,,,,
turkey,packaged fruit/vegetables,frozen vegetables,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
root vegetables,sliced cheese,shopping bags,sliced cheese,,,,,,,
root vegetables,whipped/sour cream,rolls/buns,rolls/buns,,,,,,,
roll products ,butter milk,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
white bread,rolls/buns,,,,,,,,,
curd,shopping bags,,,,,,,,,
yogurt,sweet spreads,canned beer,pot plants,,,,,,,
bottled beer,soda,candy,,,,,,,,
flour,baking powder,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
white bread,citrus fruit,sugar,,,,,,,,
whole milk,instant coffee,whole milk,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,beef,whipped/sour cream,whole milk,curd cheese,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
chicken,pork,frozen fish,,,,,,,,
pastry,baking powder,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
tropical fruit,white wine,,,,,,,,,
bottled water,canned vegetables,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
chewing gum,softener,,,,,,,,,
sugar,kitchen towels,,,,,,,,,
sausage,hamburger meat,other vegetables,,,,,,,,
beef,hard cheese,soft cheese,yogurt,,,,,,,
brandy,soap,chewing gum,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
beverages,soda,,,,,,,,,
whole milk,root vegetables,detergent,,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
onions,newspapers,newspapers,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
coffee,bottled beer,,,,,,,,,
root vegetables,whole milk,zwieback,,,,,,,,
beverages,bottled water,,,,,,,,,
white bread,salty snack,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
frankfurter,whole milk,hamburger meat,white bread,,,,,,,
sausage,dessert,,,,,,,,,
ham,whole milk,,,,,,,,,
dessert,bottled water,,,,,,,,,
canned beer,honey,,,,,,,,,
butter,coffee,,,,,,,,,
newspapers,waffles,shopping bags,,,,,,,,
sausage,whole milk,,,,,,,,,
flower (seeds),shopping bags,,,,,,,,,
butter milk,canned beer,yogurt,semi-finished bread,margarine,,,,,,
sausage,rolls/buns,rice,,,,,,,,
soda,rolls/buns,,,,,,,,,
pork,chewing gum,canned fish,,,,,,,,
domestic eggs,potato products,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
cereals,bottled water,,,,,,,,,
white bread,liquor (appetizer),shopping bags,,,,,,,,
bottled beer,yogurt,pastry,butter,shopping bags,,,,,,
sugar,whole milk,pastry,salty snack,,,,,,,
dessert,whole milk,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
pip fruit,butter milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled water,grapes,,,,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
whole milk,soft cheese,,,,,,,,,
white bread,whole milk,hygiene articles,,,,,,,,
cream cheese ,cream cheese ,,,,,,,,,
domestic eggs,softener,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
citrus fruit,curd,,,,,,,,,
whole milk,newspapers,bottled water,,,,,,,,
pip fruit,white bread,sliced cheese,,,,,,,,
frozen dessert,bottled water,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
sausage,salt,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
bottled beer,soda,hygiene articles,chicken,whole milk,whole milk,canned beer,curd,soda,,
pork,white bread,,,,,,,,,
spread cheese,newspapers,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
liquor (appetizer),rolls/buns,yogurt,,,,,,,,
pip fruit,syrup,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
rolls/buns,pip fruit,rolls/buns,rolls/buns,,,,,,,
meat spreads,tropical fruit,rolls/buns,,,,,,,,
bottled water,brown bread,,,,,,,,,
grapes,bottled water,napkins,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whole milk,chocolate,roll products ,,,,,,,,
tropical fruit,grapes,,,,,,,,,
frankfurter,rubbing alcohol,sparkling wine,other vegetables,domestic eggs,white bread,yogurt,soda,,,
chicken,rolls/buns,,,,,,,,,
pip fruit,white wine,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
yogurt,yogurt,,,,,,,,,
sausage,shopping bags,shopping bags,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
processed cheese,root vegetables,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pastry,sausage,soda,rolls/buns,sugar,soda,other vegetables,whole milk,softener,,
other vegetables,whole milk,,,,,,,,,
bottled beer,red/blush wine,,,,,,,,,
liver loaf,pip fruit,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
frozen potato products,detergent,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
root vegetables,pastry,,,,,,,,,
brown bread,bottled water,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
chicken,other vegetables,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
turkey,canned beer,abrasive cleaner,,,,,,,,
whole milk,soda,,,,,,,,,
butter milk,berries,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
pastry,bottled water,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
soft cheese,coffee,,,,,,,,,
herbs,grapes,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
